Name,transaction_id,email,account_no,product_type,quantity,unit_price,shipping_cost
retail,1,user18@rockets.com,E894194JJ481,Jersey,2,96,5.76
retail,2,user142@rockets.com,G684186GK636,Misc,5,9,1.35
retail,3,user182@rockets.com,X898402TO472,Jersey,3,98,8.82
retail,4,user492@rockets.com,R226999ZA574,Jersey,4,104,12.48
retail,5,user101@rockets.com,Q640255YC818,Jersey,3,98,8.82
retail,6,user370@rockets.com,M442194NH368,Misc,8,9,2.16
retail,7,user432@rockets.com,C478957AF493,T-shirt,3,25,2.25
retail,8,user256@rockets.com,O992362RZ893,Jersey,4,112,13.44
retail,9,user246@rockets.com,T479335KH851,Misc,8,8,1.92
retail,10,user385@rockets.com,J314031JH867,Jersey,2,84,5.04
retail,11,user299@rockets.com,I579145FE766,T-shirt,4,36,4.32
retail,12,user192@rockets.com,K332975NR372,T-shirt,4,46,5.52
retail,13,user416@rockets.com,F379431JF406,Jersey,4,107,12.84
retail,14,user483@rockets.com,K780533MO782,Jersey,4,104,12.48
retail,15,user378@rockets.com,C761924UX836,Jersey,2,95,5.7
retail,16,user155@rockets.com,F415502LG304,Hat,2,17,1.02
retail,17,user392@rockets.com,Y729775AC402,Jersey,3,113,10.17
retail,18,user498@rockets.com,A325268GX737,Hat,2,18,1.08
retail,19,user152@rockets.com,O566522CX365,Hat,5,23,3.45
retail,20,user421@rockets.com,M559764FP523,T-shirt,4,38,4.56
retail,21,user309@rockets.com,M561603TE854,Jersey,3,97,8.73
retail,22,user62@rockets.com,S783627PA963,Jersey,1,103,3.09
retail,23,user297@rockets.com,F661926FT711,Hat,6,18,3.24
retail,24,user485@rockets.com,A956632PQ816,T-shirt,1,46,1.38
retail,25,user150@rockets.com,C724894UR313,T-shirt,2,49,2.94
retail,26,user224@rockets.com,Z979664MK731,Hat,5,24,3.6
retail,27,user221@rockets.com,M722751CS419,T-shirt,4,20,2.4
retail,28,user467@rockets.com,E681593NA839,T-shirt,1,47,1.41
retail,29,user47@rockets.com,M876252TE216,Hat,2,25,1.5
retail,30,user71@rockets.com,U534975YW121,T-shirt,2,25,1.5
retail,31,user13@rockets.com,L447181AH388,Jersey,2,86,5.16
retail,32,user118@rockets.com,L700135TC322,T-shirt,3,41,3.69
retail,33,user397@rockets.com,M997699QU551,T-shirt,3,22,1.98
retail,34,user200@rockets.com,O211456TU653,Jersey,2,105,6.3
retail,35,user453@rockets.com,W485841UD545,T-shirt,4,36,4.32
retail,36,user38@rockets.com,L156802DN395,Misc,1,4,1
retail,37,user205@rockets.com,G254832LP553,T-shirt,3,49,4.41
retail,38,user466@rockets.com,A609955ID488,Hat,3,16,1.44
retail,39,user255@rockets.com,F519756EV584,Jersey,1,114,3.42
retail,40,user43@rockets.com,I994550HZ163,T-shirt,4,23,2.76
retail,41,user400@rockets.com,D302413MI642,T-shirt,4,40,4.8
retail,42,user123@rockets.com,M638471GO953,Misc,3,7,1
retail,43,user30@rockets.com,R742285GC973,Misc,5,4,1
retail,44,user4@rockets.com,B672505FE899,Hat,3,20,1.8
retail,45,user413@rockets.com,P807501FM511,Misc,10,9,2.7
retail,46,user239@rockets.com,E993623SA686,Misc,5,9,1.35
retail,47,user129@rockets.com,W669530JJ593,Misc,5,6,1
retail,48,user162@rockets.com,W285120DD221,Misc,5,9,1.35
retail,49,user417@rockets.com,C876303WS542,T-shirt,2,48,2.88
retail,50,user133@rockets.com,N375330RX925,Hat,4,16,1.92
retail,51,user277@rockets.com,R491725UO190,Hat,1,22,1
retail,52,user145@rockets.com,P439059ZG983,Jersey,1,102,3.06
retail,53,user227@rockets.com,L105916IQ305,Jersey,2,109,6.54
retail,54,user302@rockets.com,E385299TC984,Jersey,1,107,3.21
retail,55,user117@rockets.com,A827249MP707,Jersey,4,88,10.56
retail,56,user355@rockets.com,G148339ZS197,Jersey,4,103,12.36
retail,57,user119@rockets.com,I940311FG473,Jersey,4,104,12.48
retail,58,user377@rockets.com,G764607MS426,Misc,2,5,1
retail,59,user152@rockets.com,O566522CX365,Misc,9,8,2.16
retail,60,user102@rockets.com,C593028GT535,T-shirt,3,46,4.14
retail,61,user120@rockets.com,G526312OT524,T-shirt,4,44,5.28
retail,62,user301@rockets.com,F672181WM397,Hat,6,24,4.32
retail,63,user80@rockets.com,V543638QR711,Jersey,4,117,14.04
retail,64,user186@rockets.com,W928753LF297,Hat,3,16,1.44
retail,65,user348@rockets.com,U891329YV853,Hat,1,24,1
retail,66,user222@rockets.com,R263091VY533,Misc,4,4,1
