transaction_id,question,response
1,phone_no,290-551-1299
1,event_id,3220
1,how_satisfied_were_you_with_this_event,2
1,how_satisfied_were_you_with_your_retail_experience_at_this_event,3
1,how_likely_are_you_to_attend_this_event_in_the_future,5 - Very Likely
1,what_is_your_birthdate,33939
1,what_is_your_household_income,"Less than $50,000"
1,what_is_your_highest_level_of_education_that_you_have_attained,Associate's Degree
2,phone_no,663-795-4865
2,event_id,3242
2,how_satisfied_were_you_with_this_event,5 - Very Satisfied
2,how_satisfied_were_you_with_your_retail_experience_at_this_event,3
2,how_likely_are_you_to_attend_this_event_in_the_future,1 - Very Unlikely
2,what_is_your_birthdate,21535
2,what_is_your_household_income,"Less than $50,000"
2,what_is_your_highest_level_of_education_that_you_have_attained,Vocational School
3,phone_no,674-251-1148
3,event_id,3217
3,how_satisfied_were_you_with_this_event,4
3,how_satisfied_were_you_with_your_retail_experience_at_this_event,2
3,how_likely_are_you_to_attend_this_event_in_the_future,3
3,what_is_your_birthdate,35693
3,what_is_your_household_income,"$100,000 - $149,000"
3,what_is_your_highest_level_of_education_that_you_have_attained,Graduate Degree
4,phone_no,728-127-6014
4,event_id,3215
4,how_satisfied_were_you_with_this_event,3
4,how_satisfied_were_you_with_your_retail_experience_at_this_event,3
4,how_likely_are_you_to_attend_this_event_in_the_future,4
4,what_is_your_birthdate,37384
4,what_is_your_household_income,"Less than $50,000"
4,what_is_your_highest_level_of_education_that_you_have_attained,Vocational School
5,phone_no,238-199-2712
5,event_id,3237
5,how_satisfied_were_you_with_this_event,5 - Very Satisfied
5,how_satisfied_were_you_with_your_retail_experience_at_this_event,3
5,how_likely_are_you_to_attend_this_event_in_the_future,3
5,what_is_your_birthdate,22531
5,what_is_your_household_income,"$250,00 or more"
5,what_is_your_highest_level_of_education_that_you_have_attained,Vocational School
6,phone_no,219-685-5588
6,event_id,3245
6,how_satisfied_were_you_with_this_event,2
6,how_satisfied_were_you_with_your_retail_experience_at_this_event,2
6,how_likely_are_you_to_attend_this_event_in_the_future,4
6,what_is_your_birthdate,15017
6,what_is_your_household_income,"$100,000 - $149,000"
6,what_is_your_highest_level_of_education_that_you_have_attained,Vocational School
7,phone_no,481-518-8887
7,event_id,3211
7,how_satisfied_were_you_with_this_event,5 - Very Satisfied
7,how_satisfied_were_you_with_your_retail_experience_at_this_event,5 - Very Satisfied
7,how_likely_are_you_to_attend_this_event_in_the_future,4
7,what_is_your_birthdate,30514
7,what_is_your_household_income,"$150,000 - $199,000"
7,what_is_your_highest_level_of_education_that_you_have_attained,High school
8,phone_no,412-417-3174
8,event_id,3218
8,how_satisfied_were_you_with_this_event,4
8,how_satisfied_were_you_with_your_retail_experience_at_this_event,4
8,how_likely_are_you_to_attend_this_event_in_the_future,3
8,what_is_your_birthdate,36167
8,what_is_your_household_income,"$100,000 - $149,000"
8,what_is_your_highest_level_of_education_that_you_have_attained,Graduate Degree
9,phone_no,286-242-7937
9,event_id,3220
9,how_satisfied_were_you_with_this_event,2
9,how_satisfied_were_you_with_your_retail_experience_at_this_event,3
9,how_likely_are_you_to_attend_this_event_in_the_future,5 - Very Likely
9,what_is_your_birthdate,21380
9,what_is_your_household_income,"$50,000 - $99,999"
9,what_is_your_highest_level_of_education_that_you_have_attained,Bachelor's Degree
10,phone_no,891-415-5232
10,event_id,3233
10,how_satisfied_were_you_with_this_event,2
10,how_satisfied_were_you_with_your_retail_experience_at_this_event,2
10,how_likely_are_you_to_attend_this_event_in_the_future,2
10,what_is_your_birthdate,25272
10,what_is_your_household_income,"Less than $50,000"
10,what_is_your_highest_level_of_education_that_you_have_attained,Graduate Degree
11,phone_no,231-757-6010
11,event_id,3249
11,how_satisfied_were_you_with_this_event,5 - Very Satisfied
11,how_satisfied_were_you_with_your_retail_experience_at_this_event,3
11,how_likely_are_you_to_attend_this_event_in_the_future,4
11,what_is_your_birthdate,18019
11,what_is_your_household_income,"$50,000 - $99,999"
11,what_is_your_highest_level_of_education_that_you_have_attained,Vocational School
12,phone_no,285-463-2260
12,event_id,3226
12,how_satisfied_were_you_with_this_event,5 - Very Satisfied
12,how_satisfied_were_you_with_your_retail_experience_at_this_event,2
12,how_likely_are_you_to_attend_this_event_in_the_future,4
12,what_is_your_birthdate,31270
12,what_is_your_household_income,"$250,00 or more"
12,what_is_your_highest_level_of_education_that_you_have_attained,Vocational School
13,phone_no,729-877-7463
13,event_id,3221
13,how_satisfied_were_you_with_this_event,4
13,how_satisfied_were_you_with_your_retail_experience_at_this_event,4
13,how_likely_are_you_to_attend_this_event_in_the_future,4
13,what_is_your_birthdate,15704
13,what_is_your_household_income,"$250,00 or more"
13,what_is_your_highest_level_of_education_that_you_have_attained,High school
14,phone_no,435-986-2962
14,event_id,3212
14,how_satisfied_were_you_with_this_event,3
14,how_satisfied_were_you_with_your_retail_experience_at_this_event,5 - Very Satisfied
14,how_likely_are_you_to_attend_this_event_in_the_future,3
14,what_is_your_birthdate,33840
14,what_is_your_household_income,"$200,000 - $249,000"
14,what_is_your_highest_level_of_education_that_you_have_attained,Vocational School
15,phone_no,450-696-5806
15,event_id,3231
15,how_satisfied_were_you_with_this_event,5 - Very Satisfied
15,how_satisfied_were_you_with_your_retail_experience_at_this_event,3
15,how_likely_are_you_to_attend_this_event_in_the_future,2
15,what_is_your_birthdate,14925
15,what_is_your_household_income,"$100,000 - $149,000"
15,what_is_your_highest_level_of_education_that_you_have_attained,Vocational School
16,phone_no,201-727-1255
16,event_id,3211
16,how_satisfied_were_you_with_this_event,5 - Very Satisfied
16,how_satisfied_were_you_with_your_retail_experience_at_this_event,4
16,how_likely_are_you_to_attend_this_event_in_the_future,3
16,what_is_your_birthdate,29841
16,what_is_your_household_income,"$50,000 - $99,999"
16,what_is_your_highest_level_of_education_that_you_have_attained,Vocational School
17,phone_no,644-438-4893
17,event_id,3228
17,how_satisfied_were_you_with_this_event,1 - Very Dissatisfied
17,how_satisfied_were_you_with_your_retail_experience_at_this_event,3
17,how_likely_are_you_to_attend_this_event_in_the_future,5 - Very Likely
17,what_is_your_birthdate,20089
17,what_is_your_household_income,"Less than $50,000"
17,what_is_your_highest_level_of_education_that_you_have_attained,High school
18,phone_no,223-415-3925
18,event_id,3243
18,how_satisfied_were_you_with_this_event,5 - Very Satisfied
18,how_satisfied_were_you_with_your_retail_experience_at_this_event,3
18,how_likely_are_you_to_attend_this_event_in_the_future,1 - Very Unlikely
18,what_is_your_birthdate,31666
18,what_is_your_household_income,"$250,00 or more"
18,what_is_your_highest_level_of_education_that_you_have_attained,Vocational School
19,phone_no,287-227-2087
19,event_id,3238
19,how_satisfied_were_you_with_this_event,2
19,how_satisfied_were_you_with_your_retail_experience_at_this_event,5 - Very Satisfied
19,how_likely_are_you_to_attend_this_event_in_the_future,1 - Very Unlikely
19,what_is_your_birthdate,16350
19,what_is_your_household_income,"Less than $50,000"
19,what_is_your_highest_level_of_education_that_you_have_attained,Graduate Degree
20,phone_no,284-205-8445
20,event_id,3248
20,how_satisfied_were_you_with_this_event,4
20,how_satisfied_were_you_with_your_retail_experience_at_this_event,3
20,how_likely_are_you_to_attend_this_event_in_the_future,5 - Very Likely
20,what_is_your_birthdate,33992
20,what_is_your_household_income,"$200,000 - $249,000"
20,what_is_your_highest_level_of_education_that_you_have_attained,High school
21,phone_no,399-417-4359
21,event_id,3214
21,how_satisfied_were_you_with_this_event,5 - Very Satisfied
21,how_satisfied_were_you_with_your_retail_experience_at_this_event,3
21,how_likely_are_you_to_attend_this_event_in_the_future,4
21,what_is_your_birthdate,26030
21,what_is_your_household_income,"Less than $50,000"
21,what_is_your_highest_level_of_education_that_you_have_attained,High school
22,phone_no,900-622-8750
22,event_id,3227
22,how_satisfied_were_you_with_this_event,3
22,how_satisfied_were_you_with_your_retail_experience_at_this_event,2
22,how_likely_are_you_to_attend_this_event_in_the_future,4
22,what_is_your_birthdate,28906
22,what_is_your_household_income,"$100,000 - $149,000"
22,what_is_your_highest_level_of_education_that_you_have_attained,Graduate Degree
23,phone_no,740-552-4874
23,event_id,3245
23,how_satisfied_were_you_with_this_event,4
23,how_satisfied_were_you_with_your_retail_experience_at_this_event,3
23,how_likely_are_you_to_attend_this_event_in_the_future,1 - Very Unlikely
23,what_is_your_birthdate,15531
23,what_is_your_household_income,"$100,000 - $149,000"
23,what_is_your_highest_level_of_education_that_you_have_attained,Bachelor's Degree
24,phone_no,508-477-7254
24,event_id,3242
24,how_satisfied_were_you_with_this_event,1 - Very Dissatisfied
24,how_satisfied_were_you_with_your_retail_experience_at_this_event,5 - Very Satisfied
24,how_likely_are_you_to_attend_this_event_in_the_future,5 - Very Likely
24,what_is_your_birthdate,23285
24,what_is_your_household_income,"$150,000 - $199,000"
24,what_is_your_highest_level_of_education_that_you_have_attained,High school
25,phone_no,871-526-4107
25,event_id,3225
25,how_satisfied_were_you_with_this_event,2
25,how_satisfied_were_you_with_your_retail_experience_at_this_event,3
25,how_likely_are_you_to_attend_this_event_in_the_future,1 - Very Unlikely
25,what_is_your_birthdate,29674
25,what_is_your_household_income,"$50,000 - $99,999"
25,what_is_your_highest_level_of_education_that_you_have_attained,Vocational School
26,phone_no,652-254-7793
26,event_id,3219
26,how_satisfied_were_you_with_this_event,5 - Very Satisfied
26,how_satisfied_were_you_with_your_retail_experience_at_this_event,3
26,how_likely_are_you_to_attend_this_event_in_the_future,2
26,what_is_your_birthdate,36383
26,what_is_your_household_income,"Less than $50,000"
26,what_is_your_highest_level_of_education_that_you_have_attained,Bachelor's Degree
27,phone_no,308-886-8964
27,event_id,3216
27,how_satisfied_were_you_with_this_event,5 - Very Satisfied
27,how_satisfied_were_you_with_your_retail_experience_at_this_event,2
27,how_likely_are_you_to_attend_this_event_in_the_future,3
27,what_is_your_birthdate,34299
27,what_is_your_household_income,"Less than $50,000"
27,what_is_your_highest_level_of_education_that_you_have_attained,Bachelor's Degree
28,phone_no,899-360-8210
28,event_id,3244
28,how_satisfied_were_you_with_this_event,2
28,how_satisfied_were_you_with_your_retail_experience_at_this_event,1 - Very Dissatisfied
28,how_likely_are_you_to_attend_this_event_in_the_future,2
28,what_is_your_birthdate,16588
28,what_is_your_household_income,"$150,000 - $199,000"
28,what_is_your_highest_level_of_education_that_you_have_attained,Vocational School
29,phone_no,691-635-8117
29,event_id,3244
29,how_satisfied_were_you_with_this_event,2
29,how_satisfied_were_you_with_your_retail_experience_at_this_event,2
29,how_likely_are_you_to_attend_this_event_in_the_future,5 - Very Likely
29,what_is_your_birthdate,23255
29,what_is_your_household_income,"$50,000 - $99,999"
29,what_is_your_highest_level_of_education_that_you_have_attained,Graduate Degree
30,phone_no,366-753-6402
30,event_id,3251
30,how_satisfied_were_you_with_this_event,3
30,how_satisfied_were_you_with_your_retail_experience_at_this_event,5 - Very Satisfied
30,how_likely_are_you_to_attend_this_event_in_the_future,5 - Very Likely
30,what_is_your_birthdate,20011
30,what_is_your_household_income,"$150,000 - $199,000"
30,what_is_your_highest_level_of_education_that_you_have_attained,Bachelor's Degree
31,phone_no,427-385-1135
31,event_id,3212
31,how_satisfied_were_you_with_this_event,3
31,how_satisfied_were_you_with_your_retail_experience_at_this_event,3
