transaction_id,account_no,email,zip,phone_no,section,row,qty,total_price,event_id,channel
1,A87144476G,user400@rockets.com,77066,280-379-5220,109,9,1,200,3223,Web
2,A66578188Z,user141@rockets.com,76673,490-491-8071,101,10,4,800,3221,Box Office
3,A11689958W,user98@rockets.com,77031,244-805-9413,100,18,8,1600,3237,Box Office
4,A47432461Z,user213@rockets.com,76136,826-458-9773,400,7,1,50,3240,Web
5,A80089942I,user472@rockets.com,75559,803-733-6051,414,17,1,25,3215,Box Office
6,A17048992R,user458@rockets.com,77842,564-790-3863,127,20,2,300,3211,Web
7,A53621260D,user329@rockets.com,78640,331-192-2512,409,15,7,350,3238,Web
8,A39019755T,user391@rockets.com,38587,252-878-3695,427,8,6,60,3223,Box Office
9,A20318281V,user444@rockets.com,77201,758-207-1067,425,3,7,105,3214,BackOffice
10,A25487937E,user185@rockets.com,77507,884-924-4272,106,9,3,600,3213,BackOffice
11,A26182413V,user278@rockets.com,75048,223-415-3925,426,15,1,10,3217,BackOffice
12,A40175980Y,user172@rockets.com,77503,502-171-6687,115,2,7,1190,3249,Box Office
13,A27146115A,user20@rockets.com,77581,320-336-6993,405,11,5,250,3218,Box Office
14,A44442077C,user233@rockets.com,76657,688-462-2834,106,3,6,1200,3243,BackOffice
15,A95207551H,user234@rockets.com,78163,499-795-8878,419,1,3,45,3238,BackOffice
16,A30938526X,user403@rockets.com,76642,375-534-9476,117,18,6,900,3247,BackOffice
17,A52037933G,user325@rockets.com,77052,219-163-3993,127,4,3,450,3226,Web
18,A71306688G,user221@rockets.com,77836,333-936-5168,121,8,3,450,3241,Box Office
19,A91261380F,user224@rockets.com,49910,835-434-7276,119,18,8,1200,3213,BackOffice
20,A17048992R,user458@rockets.com,77842,564-790-3863,429,19,7,70,3217,Web
21,A36984219A,user465@rockets.com,77472,262-544-8970,111,11,1,170,3247,BackOffice
22,A17142650I,user340@rockets.com,76569,481-764-5291,418,11,3,60,3250,Web
23,A70653472V,user373@rockets.com,77004,201-727-1255,415,17,6,120,3211,BackOffice
24,A70052743K,user88@rockets.com,77382,721-684-1994,426,19,2,20,3249,Web
25,A36918507A,user105@rockets.com,77477,607-277-7701,125,9,8,1200,3231,Web
26,A22282792B,user237@rockets.com,78061,702-491-5540,114,7,8,1360,3218,Box Office
27,A82383061F,user101@rockets.com,77388,226-568-7645,405,11,7,350,3221,BackOffice
